【バリデーション結果】
文末解析: High
語彙解析: High
構造解析: High
判定: マニュアルとして有効
作業数: 2 (判定: Middle) — 仮タイトル列挙: 「使用前点検」「研削作業」(主要作業: 研削作業を選択)
ノード数: 36 (手順: 18, 急所: 18)
分割: あり → ①使用前点検　②研削作業

【シナリオ】
カット番号	手順番号	映像説明	撮影方法	ナレーション	字幕
1	-	動画サマリー：使用前点検を行い、安全に研削作業を実施する①	-	本映像はグラインダーの使用前点検と準備手順を説明します（①）。	研削作業準備①
2	-	設備全体と作業者の立ち位置（グラインダー全景、操作パネル、集塵機の配置）	俯瞰(ヒキ)	作業前に設備全体と作業者の位置関係を確認します。	設備と作業者の配置
3	手順1	主スイッチの解放と札の設置、指差確認呼称を行う場面（手で札をかける）	中間(チュウ)	主スイッチを解放し、『絶対さわるな』札をかけて指差確認呼称をします。	主スイッチ解放・指差確認
4	急所1-1	札の取り付け状態の接写（札の取り付けが確実か）	接写(ヨリ)	札が確実に取り付けられていることを確認します。	札の確実な設置
5	手順2	トング・レスト・砥石端カバーと寸法（ゲージや隙間）を確認する様子（ゲージを当てる）	特ヨリ	トング、レスト、砥石端カバーの位置と隙間を専用ゲージで確認します。	トング・レストの隙間確認
6	急所2-1	レスト・カバーの割れや変形の接写、隙間数値（5mm、10mmなど）を示す場面	特ヨリ	レストやカバーに変形・割れがないか、規定の隙間値を満たしているか確認します。	カバー・隙間の異常確認
7	手順3	保護手袋（軍手/薄皮手袋）を着用する様子（手元を映す）	中間(チュウ)	保護手袋を着装します。軍手または薄皮手袋を使用します。	保護手袋着用
8	急所3-1	服装の確認（袖口ボタン等）の接写	中間(チュウ)	袖口や服装にほつれやボタンの緩みがないことを確認します。	服装・袖口確認
9	手順4	砥石を手で上方向へ1周回して欠けを確認する手元映像	接写(ヨリ)	砥石を手で上方向へ1周以上回し、欠けや偏摩耗がないか確認します。	砥石の欠け・偏摩耗確認
10	急所4-1	砥石に欠けがあった場合の対応（交換・ドレッサー）を示すテロップ及び手元映像	接写(ヨリ)	不具合があれば砥石を交換するか、ドレッサー処置を行います。	欠け時は交換・ドレッサー
11	手順5	被研削物冷却水量の確認（タンクの水位を示す）	接写(ヨリ)	被研削物冷却水が約8分目であることを確認します。	冷却水8分目確認
12	手順6	集塵機のシュート部と水没状態、集塵機運転確認の様子（シュートの接写・操作パネル）	中間(チュウ)	集塵機のシュート部が水没していること、炉布式は運転確認を行います。	集塵機運転・シュート水没
