【バリデーション結果】
文末解析: High
語彙解析: High
構造解析: High
判定: マニュアルとして有効

作業数: 2 (判定: Middle)
- 仮タイトル候補:
  1. 使用前点検
  2. 研削作業
- 自動選択（主要作業）: 研削作業

ノード数: 20 (手順: 4, 急所: 16)
分割: なし

内訳（簡易表示）
- 手順1: 使用前点検（急所6件）
- 手順2: 主スイッチ投入・保護具着用・空運転（急所3件）
- 手順3: 研削開始（急所4件）
- 手順4: 研削終了・後処理（急所3件）

【シナリオ】
カット番号	手順番号	映像説明	撮影方法	ナレーション	字幕
1	-	設備全体の俯瞰（工場内の両頭グラインダーと作業者の位置を示す）	俯瞰(ヒキ)	本映像では両頭グラインダーの安全な点検と研削手順を示します。①	グラインダー研削の要約①
2	-	設備と作業者の立ち位置（作業全景）	俯瞰(ヒキ)	作業者と設備の位置関係を確認します。作業エリアの地図を把握してください。	設備と作業者の位置
3	手順1	使用前点検の全体像（操作台付近で点検を開始する作業者）	中間(チュウ)	使用前点検を行います。主スイッチ解放から集塵機確認まで順を追って点検します。	使用前点検
4	急所1-1	主スイッチに指を差す／札を掲示する動作（スイッチ正面）	中間(チュウ)	主スイッチを解放します。指差確認呼称を行い、「絶対さわるな」札をかけます。	主スイッチ解放・札掛け
5	急所1-2	トング・レスト・砥石端カバーにゲージを当てる手元（計測器と目視）	特ヨリ	トング・レスト・砥石端カバーの状態を専用ゲージで確認します。トング10mm、レスト3mm以下を確認します。	トング/レスト/カバー確認
6	急所1-3	保護手袋をはめる手元と袖口の確認（腰付近）	中間(チュウ)	保護手袋を着装します。軍手または薄皮手袋を使用し、袖口のボタン等服装も確認します。	保護手袋着用
7	急所1-4	砥石を手で上方向に回す接写（砥石端を手で回す）	接写(ヨリ)	砥石を手で上方向へ1周以上回して、欠けや偏摩耗がないかを確認します。不具合時は交換またはドレッサーで処置します。	砥石の回転・欠け確認
8	急所1-5	冷却水タンクの水位を示すクローズアップ（液面）	接写(ヨリ)	被研削物の冷却水が8分目程度あることを確認します。	冷却水量確認
9	急所1-6	集塵機の運転スイッチと排気部の確認（集塵機全景と接写）	中間(チュウ)	集塵機の運転を確認します。炉布式は運転確認、砥石連動式は空運転時に確認します。	集塵機運転確認
10	手順2	投入・保護具着用・空運転の全体像（操作開始の準備）	中間(チュウ)	動作前に主スイッチを投入し、保護具を着用したうえで空運転を実施します。	投入・PPE・空運転
11	急所2-1	主スイッチを投入する手元（指差しを含む）	中間(チュウ)	主スイッチを投入します。指差確認呼称を行い、手元スイッチが切の状態であることを確認します。	主スイッチ投入
12	急所2-2	ゴーグルと防塵マスクの装着（顔周りの中間ショット）	中間(チュウ)	保護メガネ（ゴーグル）と防塵マスクを着用し、顔に密着させます。メガネは事前にエアーブロー等で清潔にします。	ゴーグル・マスク着用
13	急所2-3	砥石回転の空運転でタイマーを表示（砥石回転の中間ショット）	中間(チュウ)	砥石カバーをかぶせて指差確認を行い、1分以上の空運転で異音・異常振動の有無を確認します。	空運転1分以上
14	-	研削開始前の全景（カメラ位置リセット／再俯瞰）	俯瞰(ヒキ)	これから研削作業に入ります。作業者の立ち位置と機械配置を再確認します。	研削開始の全景
15	手順3	砥石カバーをあけて研削を開始する場面の概観（作業者が被研削物を用意）	中間(チュウ)	砥石カバーを開け、手元スイッチで研削を開始します。被研削物は必ずレスト台に載せます。	研削開始
16	急所3-1	砥石カバー取手を持って開ける手元の接写	接写(ヨリ)	使用する側のカバーのみ取手を持って開けます。砥石回転時の取り扱いに注意し、2名同時の研削は行いません。	カバー開け注意
17	急所3-2	手元スイッチを投入する手元（指差呼称）	中間(チュウ)	手元スイッチを投入します。指差確認呼称を行い、保護具を着装したまま操作します。	手元スイッチ投入
18	急所3-3	被研削物を徐々に砥石へ押す手元の接写（冷却の掛け方も示す）	接写(ヨリ)	被切削物は徐々に砥石へ押し付け、連続切削を避けて適度に冷却します。非鉄金属やステンレスは特性に応じて押付け力を調整します。	研削の操作ポイント
19	急所3-4	作業者の立ち位置と小物把持の中間ショット（プライヤー使用の接写挿入）	中間(チュウ)	足を前後に開いて立ち、砥石正面を避けます。50mm以下の小物はプライヤーや専用治具で把持し、砥石の側面使用は禁止です。	姿勢・小物把持・側面禁止
20	手順4	研削終了と後処理の概観（作業終了の準備）	中間(チュウ)	研削終了後は手元スイッチを開放し、砥石が完全に停止してから確認と後片付けを行います。	研削終了・後処理
21	急所4-1	手元スイッチを開放する手元（指差呼称）	中間(チュウ)	作業終了時に手元スイッチを開放します。指差確認呼称を行います。	手元スイッチ開放
22	急所4-2	砥石が停止していることを確認する接写（砥石表面を目視）	接写(ヨリ)	砥石が完全に停止してから目測で状態を確認します。摩耗が多い場合はトング・レストを調整します。	砥石停止確認
23	急所4-3	周辺の掃除（保護具着用のまま掃除する作業者の中間ショット）	中間(チュウ)	保護具を着用したまま周辺の清掃を行います。木材・黒鉛・アルミ等可燃性粉塵がある場合は集塵機の清掃も実施します。	周辺の1S・清掃
