【バリデーション結果】
文末解析: High
語彙解析: High
構造解析: High
判定: マニュアルとして有効
作業数: 3 (判定: Middle)
仮タイトル一覧:
  1) 使用前点検・準備
  2) 研削作業（操作と停止）
  3) 片付け・周辺清掃
自動選択主要作業: 研削作業（操作と停止）
ノード数: 19 (手順: 10, 急所: 9)
分割: なし

【シナリオ】
カット番号	手順番号	映像説明	撮影方法	ナレーション	字幕
1	-	作業目的の要約と本編の分割表示（画面にタイトル表示）	俯瞰(ヒキ)	この動画は両頭グラインダーでの研削作業手順と注意点を示します。①	グラインダー研削作業①
2	-	作業場全体と両頭グラインダー、作業者の立ち位置を俯瞰で提示	俯瞰(ヒキ)	設備と作業者の位置関係を確認します。作業範囲の地図を把握してください。	設備と立ち位置
3	手順1	使用前点検の流れを作業者が一巡する様子（機械周りを確認）	俯瞰(ヒキ)	使用前点検として主要箇所を順に確認します。	使用前点検一巡
4	急所1-1	モスイッチ前で指差呼称する手元のアップ（スイッチラベルが見える）	中間(チュウ)	モスイッチが「切」になっていることを指差呼称で確認します。	モスイッチ切・指差呼称
5	手順2	トンクレスト／レストの調整作業（ゲージを当てる映像、砥石とのスキマ確認）	特ヨリ	トンクレストとレストを専用ゲージで調整し、スキマを確認します。	トンクレスト調整・スキマ確認
6	急所2-1	レストと砥石のクリアランスを接写で示す（レストが近い状態）	接写(ヨリ)	レストを砥石に引き寄せ、固定状態を確認します。	レスト引寄せ確認
7	手順3	防護具（ゴーグル・防塵マスク・革手袋）の着装を作業者が着ける全身～上半身像	中間(チュウ)	防塵ゴーグル、マスク、革手袋を着装します。	防護具着用
8	急所3-1	ゴーグルの顔への密着を顔周りのクローズアップで示す	中間(チュウ)	ゴーグルは顔に密着させ、視界やシール状態を確認します。	ゴーグル密着確認
9	手順4	砥石の目視点検と手での回転確認（上方向へ回す動作）	接写(ヨリ)	手で砥石を上方向へ1周以上回して欠け・割れ・偏摩耗がないことを確認します。	砥石目視・回転確認
10	急所4-1	空運転（機械起動）で砥石回転と異音確認、タイマー表示を含む映像	俯瞰(ヒキ)	空運転を1分以上行い、異音・振動がないことを確認します。	空運転・異音確認
11	手順5	集塵機と被研削物冷却水のタンク・配管の点検（パネルや水位表示）	中間(チュウ)	集塵機の運転と冷却水の水量（概ね8分目）を確認します。	集塵・冷却水確認
12	-	準備完了から研削開始への視点切替（作業者の位置と開けるカバーの位置を示す俯瞰）	俯瞰(ヒキ)	これより研削作業に移ります。位置と動線を再確認します。	研削開始前俯瞰
13	手順6	砥石カバーの開け方（使用側のみ取手で静かに開ける動作）	中間(チュウ)	使用する側の砥石カバーを取手で開けます。砥石回転時は開けません。	カバー開放
14	急所6-1	研削姿勢（足を前後に開いた安定姿勢）を示す全身～腰上の映像	中間(チュウ)	足を前後に開いて安定した立ち位置をとります。	安定姿勢
15	手順7	手元スイッチを投入する手元の映像	中間(チュウ)	手元スイッチを投入して研削操作を開始します。	手元スイッチ投入
16	急所7-1	保護具・手元状態の最終確認（手袋・ゴーグルの確認）	中間(チュウ)	保護具の装着状態を再確認します。	保護具最終確認
17	手順8	研削の手元映像（被研削物をレストに載せて押し当てる動作を接写）	接写(ヨリ)	被研削物をレストに載せ、床に置いて押し付けるように研削します。連続切削は避け適度に冷却します。	研削：押付け・冷却
18	急所8-1	小物把持と禁止事項（プライヤー使用、小物が噛み込む例を示す）	接写(ヨリ)	50mm以下はプライヤーや専用治具で把持し、砥石側面の使用は厳禁です。厚さ3mm以下は研削禁止です。	小物は治具で・側面禁止
19	手順9	研削終了で手元スイッチを開放する動作の中間映像	中間(チュウ)	研削後は手元スイッチを開放します。	手元スイッチ開放
20	急所9-1	砥石の完全停止を特写で確認する映像（砥石端面の回転停止）	特ヨリ	砥石が完全に停止していることを目視で確認します。	砥石停止確認
21	手順10	砥石カバーをかぶせる動作（カバー取付）	中間(チュウ)	砥石カバーを元の位置に戻してかぶせます。	カバー復帰
22	手順10-2	モスイッチ（主電源）を開放し指差呼称する映像	中間(チュウ)	モスイッチを開放し、指差呼称で操作完了を確認します。	モスイッチ開放・指差呼称
23	急所10-1	周辺の清掃と保護具の整頓、集塵機掃除の様子（作業台・床を掃く）	中間(チュウ)	周辺の清掃と保護具の整頓、集塵機のフィルタや布部の清掃を行います。	周辺清掃・保護具整頓
24	-	総括の俯瞰（作業場全体を再提示し、安全ポイントを再掲）	俯瞰(ヒキ)	作業の要点を振り返ります。安全装備の着用と砥石停止確認を徹底してください。	要点振返り・安全徹底
