M1	routes/api.php の write group から 'idempotent' を外す	ちょうど 1 本持つか exemption	RED-OTHER	{"result": "failed", "failed": 2, "errors": null, "tests": 9, "names": ["P\\Tests\\Architecture\\IdempotentRouteCoverageTest::__pest_evaluable_母集団の変更系_route_は_idempotent_をちょうど_1_本持つか_exemption_に明示分類されている__未知は_fail_", "P\\Tests\\Architecture\\IdempotentRouteCoverageTest::__pest_evaluable_正のコントロール__idempotent_付きの_api_v1_変更系_route_は違反にならない"]}
M2	coverage の母集団 prefix を api/v2/ に変える	母集団が下限を下回らない	RED-AS-DESIGNED	{"result": "failed", "failed": 3, "errors": null, "tests": 9, "names": ["P\\Tests\\Architecture\\IdempotentRouteCoverageTest::__pest_evaluable_母集団が下限を下回らない__セレクタの空振り検出_", "P\\Tests\\Architecture\\IdempotentRouteCoverageTest::__pest_evaluable_exemption_inventory_の_key_は現存する母集団_route__stale_検出_", "P\\Tests\\Architecture\\IdempotentRouteCoverageTest::__pest_evaluable_負のコントロール__idempotent_無しの_api_v1_変更系_route_を検出する"]}
M3	免除の理由文字列を 10 文字にする	実質的な理由文字列	RED-AS-DESIGNED	{"result": "failed", "failed": 1, "errors": null, "tests": 9, "names": ["P\\Tests\\Architecture\\IdempotentRouteCoverageTest::__pest_evaluable_exemption_inventory_の値は_enum___実質的な理由文字列"]}
M4	api.v1.me.session.revoke に 'idempotent' を付ける	死んだ exemption	RED-OTHER	{"result": "failed", "failed": 1, "errors": null, "tests": 9, "names": ["P\\Tests\\Architecture\\IdempotentRouteCoverageTest::__pest_evaluable_exemption_inventory_の_key_は_idempotent_を_1_本も持たない__死んだ_exemption_の検出_"]}
M5	免除を 1 件増やす (架空 route)	stale 検出	RED-OTHER	{"result": "failed", "failed": 3, "errors": null, "tests": 9, "names": ["P\\Tests\\Architecture\\IdempotentRouteCoverageTest::__pest_evaluable_exemption_inventory_の_key_は現存する母集団_route__stale_検出_", "P\\Tests\\Architecture\\IdempotentRouteCoverageTest::__pest_evaluable_exemption_件数が上限を超えない__形骸化ガード_", "P\\Tests\\Architecture\\IdempotentRouteCoverageTest::__pest_evaluable_exemption_の_case_別件数が上限を超えない__分類の偏り検出_"]}
M6	負のコントロールの probe route 登録を消す	負のコントロール	RED-AS-DESIGNED	{"result": "failed", "failed": 1, "errors": null, "tests": 9, "names": ["P\\Tests\\Architecture\\IdempotentRouteCoverageTest::__pest_evaluable_負のコントロール__idempotent_無しの_api_v1_変更系_route_を検出する"]}
M7	claim() の insertOrIgnore を insert に戻す	409 idempotency_in_progress	RED-OTHER	{"result": "failed", "failed": 6, "errors": null, "tests": 13, "names": ["P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_処理中の同一キーは_controller_を実行せず_409_idempotency__in__progress", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_決着済み__completed__の行があれば_controller_を実行せず再生する", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_indeterminate_の行があれば_409_idempotency__indeterminate_で副作用ゼロ", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_期限切れの_processing_行は削除されて再_claim_できる", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_409_の_3_コードはいずれも_error_envelope_の形が同じ", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_completed_の保存_body_は_DB_へ往復してから再生される"]}
M8	claim を実行前に行わない (行が無ければ素通しで実行 = 事後 claim 相当)	controller 実行前に作られ	RED-OTHER	{"result": "failed", "failed": 2, "errors": 4, "tests": 13, "names": ["P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_claim_行は_controller_実行前に作られ、同一リクエスト内で_processing_として読める", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_255_文字を超える_Idempotency_Key_は_422_で弾かれ副作用も冪等行も作らない", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_例外が_middleware_まで抜けた場合も_indeterminate_に確定する", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_claim_行は_api__key__id___user__id_のどちらか一方だけが非_NULL", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_finalize_は_processing_の行しか書き換えない__terminal_行を上書きしない_", "P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_completed_の保存_body_は_DB_へ往復してから再生される"]}
M9	finalize() から where('state', processing) を外す	terminal 行を上書きしない	RED-OTHER	{"result": "failed", "failed": 1, "errors": null, "tests": 13, "names": ["P\\Tests\\Feature\\Api\\IdempotencyConcurrentClaimTest::__pest_evaluable_finalize_は_processing_の行しか書き換えない__terminal_行を上書きしない_"]}
M10	finalize() の indeterminate 分岐を消す (非 2xx で何もしない)	indeterminate として記録され	RED-OTHER	{"result": "failed", "failed": 1, "errors": null, "tests": 9, "names": ["P\\Tests\\Feature\\Api\\IdempotencyTest::__pest_evaluable_バリデーション失敗は_indeterminate_として記録され、同一キーの再送は_409_になる"]}
